peak_id,peak_name,name,date,time,citizenship,gender,age,is_o2_used,is_summiter,cause_of_death,height_of_death_(m),year,season
AMAD,Ama Dablam,Michael John (Mike) Harris,May 21,08:30,UK,M,33,No,.,Fall,6550,1959,Spring
AMAD,Ama Dablam,George James Fraser,May 21,08:30,UK,M,27,No,.,Fall,6550,1959,Spring
AMAD,Ama Dablam,Kenneth James (Ken) Hyslop,Oct 24,11:15,New Zealand,M,23,No,.,Avalanche,6100,1979,Autumn
AMAD,Ama Dablam,Guido Bumann,Oct 27,20:00,Switzerland,M,31,No,.,Fall,5300,1983,Autumn
AMAD,Ama Dablam,Maya Senn,Oct 27,20:00,Switzerland,F,28,No,.,Fall,5300,1983,Autumn
AMAD,Ama Dablam,Makoto Ishibashi,May 04,09:30,Japan,M,32,No,Y,Fall,5900,1985,Spring
AMAD,Ama Dablam,Charlie Eckenfelder,Apr 09,16:00,Canada,M,33,No,.,Fall,6200,1988,Spring
AMAD,Ama Dablam,Jose Joaquin Goni Azanza,Apr 19,19:00,Spain,M,36,No,Y,Fall,6750,1992,Spring
AMAD,Ama Dablam,Karine Van Dooren,Oct 26,Unknown,Belgium,F,35,No,.,Fall,6000,1992,Autumn
AMAD,Ama Dablam,Jean Corniglion,Oct 31,18:00,France,M,60,No,.,AMS,4600,1998,Autumn
AMAD,Ama Dablam,Robert Rackl,Oct 11,Unknown,Germany,M,39,No,.,Fall,6080,2003,Autumn
AMAD,Ama Dablam,Daniel Carlsson,Nov 14,05:00,Sweden,M,27,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,Mikael Forsberg,Nov 14,05:00,Sweden,M,41,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,Duncan Griffin Williams,Nov 14,05:00,UK,M,32,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,"Mingma Nuru Sherpa (Pangboche, Khumbu)",Nov 14,05:00,Nepal,M,37,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,"Tashi Dorje (Ang Tashi) Sherpa (Pangboche, Khumbu)",Nov 14,05:00,Nepal,M,36,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,"Danuru Sherpa (Pangboche, Khumbu)",Nov 14,05:00,Nepal,M,37,No,.,Avalanche,6400,2006,Autumn
AMAD,Ama Dablam,Guillermo Mateo Yeste,Jan 19,18:00,Spain,M,48,No,Y,Fall,6750,2006,Winter
AMAD,Ama Dablam,Chandra Kumar Rai,Nov 22,Unknown,Nepal,M,27,No,.,Unknown,3400,2007,Autumn
AMAD,Ama Dablam,Jean Mary,Oct 31,11:45,France,M,52,No,.,Fall,6050,2008,Autumn
AMAD,Ama Dablam,Wei Cui,Nov 04,22:00,China,M,36,No,Y,Fall,6200,2008,Autumn
AMAD,Ama Dablam,Julian Pinkerton Gamble,Nov 26,Unknown,UK,M,53,No,.,Fall,6100,2011,Autumn
AMAD,Ama Dablam,Victor Igolkin,Apr 28,Unknown,Russia,M,52,No,.,AMS,6200,2014,Spring
AMAD,Ama Dablam,Pavel Ivanovsky,Apr 29,Unknown,Russia,M,47,No,.,AMS,6200,2014,Spring
AMAD,Ama Dablam,Murad Ashurly,Oct 21,10:00,Azerbaijan/Russia,M,42,No,Y,Fall,6000,2014,Autumn
AMAD,Ama Dablam,Christoph Graf Von Preysing,Oct 26,Unknown,Germany,M,58,No,Y,AMS,6000,2014,Autumn
AMAD,Ama Dablam,"Dendi Sherpa (Bumburi, Jubing-3, Solukhumbu)",Nov 03,03:30,Nepal,M,28,No,.,Fall,6400,2014,Autumn
AMAD,Ama Dablam,"Lhakpa Thundu/Thudu (Tindu) Sherpa (Pangboche, Khumbu)",Oct 28,Unknown,Nepal,M,46,No,.,Fall,6300,2016,Autumn
AMAD,Ama Dablam,Valery Rozov,Nov 11,Unknown,Russia,M,52,No,Y,Other,6800,2017,Autumn
AMAD,Ama Dablam,Raman Nair Hachoodan,May 15,Unknown,Malaysia,M,43,No,.,Fall,6300,2018,Spring
AMAD,Ama Dablam,Michael Geoffrey Davis,Nov 15,Unknown,Australia,M,33,No,.,Fall,6100,2018,Autumn
AMAD,Ama Dablam,Steven Victor Biem,Nov 28,Unknown,USA,M,46,No,Y,AMS,6000,2018,Autumn
ANN1,Annapurna I,Ian Stewart Clough,May 30,09:45,UK,M,32,No,.,Fall,5300,1970,Spring
ANN1,Annapurna I,Kazumi Katagiri,May 18,11:30,Japan,M,23,No,.,Avalanche,6700,1973,Spring
ANN1,Annapurna I,Masanori Hama,May 18,11:30,Japan,M,36,No,.,Avalanche,6700,1973,Spring
ANN1,Annapurna I,Sadatoshi Takahashi,May 18,11:30,Japan,M,37,No,.,Avalanche,6700,1973,Spring
ANN1,Annapurna I,"Chong Rinji Sherpa (Junbesi, Solukhumbu)",May 18,14:40,Nepal,M,0,Y,.,Avalanche,6300,1973,Spring
ANN1,Annapurna I,Tadashi Ushigoe,May 18,14:40,Japan,M,30,No,.,Avalanche,6300,1973,Spring
ANN1,Annapurna I,Miller Rava,Sep 26,21:00,Italy,M,26,No,.,Avalanche,5750,1973,Autumn
ANN1,Annapurna I,Leonardo Cerruti,Sep 26,21:00,Italy,M,34,No,.,Avalanche,5750,1973,Autumn
ANN1,Annapurna I,Franz Tegischer,Apr 15,00:30,Austria,M,27,No,.,Avalanche,5500,1975,Spring
ANN1,Annapurna I,Vera Watson,Oct 17,18:00,UK,F,45,No,.,Fall,7300,1978,Autumn
ANN1,Annapurna I,Alison Chadwick-Onyszkiewicz,Oct 17,18:00,UK,F,36,No,.,Fall,7300,1978,Autumn
ANN1,Annapurna I, Unknown,Dec 31,Unknown,Nepal,M,0,No,.,Unknown,0,1979,Spring
ANN1,Annapurna I,Yves Morin,May 01,Unknown,France,M,33,No,Y,Other,6600,1979,Spring
ANN1,Annapurna I,Eric Roberts,Sep 19,10:30,UK,M,33,No,.,Avalanche,6500,1979,Autumn
ANN1,Annapurna I,Gilbert V. (Gil) Harder,Sep 19,10:30,USA,M,34,No,.,Avalanche,6500,1979,Autumn
ANN1,Annapurna I,Maynard Cohick,Sep 19,10:30,USA,M,41,No,.,Avalanche,6500,1979,Autumn
ANN1,Annapurna I,Pemba Tshering Sherpa,Sep 28,Unknown,Nepal,M,0,No,.,Avalanche,5650,1981,Autumn
ANN1,Annapurna I,Ang Nima Sherpa,Sep 28,Unknown,Nepal,M,0,No,.,Avalanche,5650,1981,Autumn
ANN1,Annapurna I,Yves Favre,Sep 28,10:40,France,M,35,No,.,Avalanche,5100,1981,Autumn
ANN1,Annapurna I,Andre Durieux,Sep 28,10:40,France,M,27,No,.,Avalanche,5100,1981,Autumn
ANN1,Annapurna I,Yasuji Kato,Oct 31,09:30,Japan,M,32,No,.,Fall,7700,1981,Autumn
ANN1,Annapurna I,Werner Buerkli,May 04,18:30,Switzerland,M,42,No,Y,AMS,7100,1982,Spring
ANN1,Annapurna I,Shanti Rai,May 12,Unknown,Nepal,M,0,No,.,Fall,6000,1982,Spring
ANN1,Annapurna I,Alexander (Alex) MacIntyre,Oct 17,10:30,UK,M,28,No,.,Fall,6000,1982,Autumn
ANN1,Annapurna I,Susumu Akamatsu,Oct 18,04:00,Japan,M,29,No,.,Avalanche,5400,1982,Autumn
ANN1,Annapurna I,Mikio Ono,Oct 18,04:00,Japan,M,30,No,.,Avalanche,5400,1982,Autumn
ANN1,Annapurna I,Tika Ram Magar,Sep 24,07:15,Nepal,M,0,No,.,Avalanche,5500,1983,Autumn
ANN1,Annapurna I,Maila Magar,Sep 24,07:15,Nepal,M,0,No,.,Avalanche,5500,1983,Autumn
